term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"propensity facial","propensity facial","2","1000","0.002","",""
"pro's comprehensive","pro's comprehensive","2","1000","0.002","",""
"privacy advocates","privacy advocates","2","1000","0.002","",""
"presidential election","presidential election","2","1000","0.002","",""
"portal privacy","portal privacy","2","1000","0.002","",""
"politico pro's","politico pro's","2","1000","0.002","",""
"photo database","photo database","2","1000","0.002","",""
"persistent surveillance","persistent surveillance","2","1000","0.002","",""
"outweighs purported","outweighs purported","2","1000","0.002","",""
"oregon florida","oregon florida","2","1000","0.002","",""
"oakland san","oakland san","2","1000","0.002","",""
"nist recognition","nist recognition","2","1000","0.002","",""
"neema singh","neema singh","2","1000","0.002","",""
"nations biometric","nations biometric","2","1000","0.002","",""
"nancy pelosi","nancy pelosi","2","1000","0.002","",""
"moratorium facial","moratorium facial","2","1000","0.002","",""
"ming-chi kuo","ming-chi kuo","2","1000","0.002","",""
"microsoft brad","microsoft brad","2","1000","0.002","",""
"microsoft amazon","microsoft amazon","2","1000","0.002","",""
"megapixel megapixel","megapixel megapixel","2","1000","0.002","",""
"media platforms","media platforms","2","1000","0.002","",""
"martin cnet","martin cnet","2","1000","0.002","",""
"mainland china","mainland china","2","1000","0.002","",""
"louisiana facebook","louisiana facebook","2","1000","0.002","",""
"loses uk","loses uk","2","1000","0.002","",""
"los angeles","los angeles","2","1000","0.002","",""
"license-plate cameras","license-plate cameras","2","1000","0.002","",""
"liberties outweighs","liberties outweighs","2","1000","0.002","",""
"liberties aclu","liberties aclu","2","1000","0.002","",""
"lawsuit alleges","lawsuit alleges","2","1000","0.002","",""
"lawmakers adopt","lawmakers adopt","2","1000","0.002","",""
"kong protesters","kong protesters","2","1000","0.002","",""
"jeff bezos","jeff bezos","2","1000","0.002","",""
"james martin","james martin","2","1000","0.002","",""
"iris scanning","iris scanning","2","1000","0.002","",""
"iphone x's","iphone x's","2","1000","0.002","",""
"iphone iphone","iphone iphone","2","1000","0.002","",""
"iphone id","iphone id","2","1000","0.002","",""
"iphone 6s","iphone 6s","2","1000","0.002","",""
"iphone 5s","iphone 5s","2","1000","0.002","",""
"ios 13.1","ios 13.1","2","1000","0.002","",""
"intelligent automation","intelligent automation","2","1000","0.002","",""
"id users","id users","2","1000","0.002","",""
"id cards","id cards","2","1000","0.002","",""
"id button","id button","2","1000","0.002","",""
"google hub","google hub","2","1000","0.002","",""
"google facial","google facial","2","1000","0.002","",""
"gait recognition","gait recognition","2","1000","0.002","",""
"frontier foundation","frontier foundation","2","1000","0.002","",""
"french idemia","french idemia","2","1000","0.002","",""
"fingerprint sensors","fingerprint sensors","2","1000","0.002","",""
"fingerprint sensor","fingerprint sensor","2","1000","0.002","",""
"fingerprint scanners","fingerprint scanners","2","1000","0.002","",""
"facial-recognition cameras","facial-recognition cameras","2","1000","0.002","",""
"facial rekognition","facial rekognition","2","1000","0.002","",""
"facial detection","facial detection","2","1000","0.002","",""
"facebook's zuckerberg","facebook's zuckerberg","2","1000","0.002","",""
"facebook violated","facebook violated","2","1000","0.002","",""
"facebook users","facebook users","2","1000","0.002","",""
"facebook settings","facebook settings","2","1000","0.002","",""
"facebook ftc","facebook ftc","2","1000","0.002","",""
"facebook facial","facebook facial","2","1000","0.002","",""
"facebook experimented","facebook experimented","2","1000","0.002","",""
"facebook confirms","facebook confirms","2","1000","0.002","",""
"facebook amazon","facebook amazon","2","1000","0.002","",""
"face-matching clients","face-matching clients","2","1000","0.002","",""
"endanger liberties","endanger liberties","2","1000","0.002","",""
"driver's licenses","driver's licenses","2","1000","0.002","",""
"driver's id","driver's id","2","1000","0.002","",""
"donald trump's","donald trump's","2","1000","0.002","",""
"donald trump","donald trump","2","1000","0.002","",""
"discloses antitrust","discloses antitrust","2","1000","0.002","",""
"detection recognition","detection recognition","2","1000","0.002","",""
"denies facial","denies facial","2","1000","0.002","",""
"customs facial","customs facial","2","1000","0.002","",""
"comprehensive intelligence","comprehensive intelligence","2","1000","0.002","",""
"company's facial","company's facial","2","1000","0.002","",""
"company's face-matching","company's face-matching","2","1000","0.002","",""
"cnet facial","cnet facial","2","1000","0.002","",""
"cnet cnet","cnet cnet","2","1000","0.002","",""
"clients detroit","clients detroit","2","1000","0.002","",""
"china facial-recognition","china facial-recognition","2","1000","0.002","",""
"china facial","china facial","2","1000","0.002","",""
"charlotte observer","charlotte observer","2","1000","0.002","",""
"ceo jeff","ceo jeff","2","1000","0.002","",""
"cctv cameras","cctv cameras","2","1000","0.002","",""
"carolina company's","carolina company's","2","1000","0.002","",""
"canceled vadim","canceled vadim","2","1000","0.002","",""
"cameras facial-recognition","cameras facial-recognition","2","1000","0.002","",""
"cagle aclu","cagle aclu","2","1000","0.002","",""
"brooklyn landlord","brooklyn landlord","2","1000","0.002","",""
"brett kavanaugh","brett kavanaugh","2","1000","0.002","",""
"bradley terminal","bradley terminal","2","1000","0.002","",""
"biometric facial","biometric facial","2","1000","0.002","",""
"beijing shanghai","beijing shanghai","2","1000","0.002","",""
"banning facial","banning facial","2","1000","0.002","",""
"autonomous semi-autonomous","autonomous semi-autonomous","2","1000","0.002","",""
"automation authentication","automation authentication","2","1000","0.002","",""
"app alarm","app alarm","2","1000","0.002","",""
"antitrust facebook","antitrust facebook","2","1000","0.002","",""
"analyst ming-chi","analyst ming-chi","2","1000","0.002","",""
"american surveillance","american surveillance","2","1000","0.002","",""
"ambitious interception","ambitious interception","2","1000","0.002","",""
"amazon facial","amazon facial","2","1000","0.002","",""
"amazon facebook","amazon facebook","2","1000","0.002","",""
"amazon ceo","amazon ceo","2","1000","0.002","",""
"alleges facebook","alleges facebook","2","1000","0.002","",""
"alarm bells","alarm bells","2","1000","0.002","",""
"airport brakes","airport brakes","2","1000","0.002","",""
"ai controversial","ai controversial","2","1000","0.002","",""
"adam schiff","adam schiff","2","1000","0.002","",""
"activist loses","activist loses","2","1000","0.002","",""
"64gb 128gb","64gb 128gb","2","1000","0.002","",""
"3d recognition","3d recognition","2","1000","0.002","",""
"16:44 facebook","16:44 facebook","2","1000","0.002","",""
"zuckerberg's facebook","zuckerberg's facebook","1","1000","0.001","",""
"zuckerberg tech","zuckerberg tech","1","1000","0.001","",""
"zuckerberg struggles","zuckerberg struggles","1","1000","0.001","",""
"zuckerberg regulators","zuckerberg regulators","1","1000","0.001","",""
