term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
recognition,recognit,562,1000,0.562,-0.556648633,0.089212236
facial,facial,534,1000,0.534,-0.118000916,0.445833995
facebook,facebook,205,1000,0.205,1.053542454,0.106280644
software,softwar,86,1000,0.086,-0.020534242,1.171239951
amazon,amazon,74,1000,0.074,1.770691729,0.150136245
surveillance,surveil,64,1000,0.064,-0.607942128,0.543508033
privacy,privaci,59,1000,0.059,-0.369708367,0.379208924
cameras,camera,51,1000,0.051,-0.293411609,0.906543369
photos,photo,49,1000,0.049,0.023179712,0.489054854
tech,tech,47,1000,0.047,0.050472873,0.589546809
google,googl,45,1000,0.045,1.500285919,0.27928098
facial-recognition,facial-recognit,43,1000,0.043,,
ban,ban,43,1000,0.043,-0.616140203,-0.592322117
users,user,41,1000,0.041,-0.066183446,1.274380112
china,china,41,1000,0.041,0.849683337,-0.248034434
scan,scan,40,1000,0.04,-0.101883944,1.055129813
detection,detect,39,1000,0.039,-0.19986698,1.096142659
technologies,technolog,30,1000,0.03,-0.305728083,1.216971636
francisco,francisco,30,1000,0.03,0.517739556,-0.284253529
san,san,29,1000,0.029,1.277214109,-0.349651962
database,databas,29,1000,0.029,-0.186027935,1.02866884
biometric,biometr,28,1000,0.028,-0.645003874,1.457254754
airport,airport,28,1000,0.028,-0.433515896,0.411408442
ai,ai,28,1000,0.028,1.223559081,-0.308582298
unlock,unlock,26,1000,0.026,-0.068487645,0.616902349
microsoft,microsoft,26,1000,0.026,2.74697185,0.729557893
id,id,25,1000,0.025,1.293503818,0.139825515
app,app,25,1000,0.025,0.36496905,1.357280728
intelligence,intellig,23,1000,0.023,-0.487887693,0.279743371
algorithms,algorithm,23,1000,0.023,0.12880705,1.847567847
fingerprint,fingerprint,22,1000,0.022,-0.435851267,0.933519871
tracking,track,20,1000,0.02,-0.436540553,0.7212046
iphone,iphon,20,1000,0.02,1.780426874,0.924187741
california,california,20,1000,0.02,2.425346108,-0.312807826
researchers,research,18,1000,0.018,-0.421202346,0.720724027
liberties,liberti,17,1000,0.017,-0.381109172,-0.26079913
chinese,chines,17,1000,0.017,1.889681175,-0.31035043
violations,violat,16,1000,0.016,-0.66601908,-0.441513201
artificial,artifici,16,1000,0.016,-0.306092193,0.097123943
rekognition,rekognit,15,1000,0.015,,
bias,bias,15,1000,0.015,-0.130512704,-0.405807208
american,american,15,1000,0.015,1.798509926,-0.4929049
regulate,regul,14,1000,0.014,-0.345928246,-0.208752478
identifying,identifi,14,1000,0.014,-0.549138605,0.305705304
digital,digit,14,1000,0.014,-0.083109028,1.024272481
alleged,alleg,14,1000,0.014,-0.600602871,-0.733294034
3d,3d,14,1000,0.014,1.298200587,0.438571748
university,univers,13,1000,0.013,-0.265902196,-0.307822636
media,media,13,1000,0.013,-0.182637615,-0.060772509
ftc,ftc,13,1000,0.013,0.592349494,0.432495819
detroit,detroit,13,1000,0.013,1.907763642,-0.560717238
customs,custom,13,1000,0.013,-0.214861262,-0.251232838
suspects,suspect,12,1000,0.012,-0.677873065,-0.222142605
sensors,sensor,12,1000,0.012,-0.312910604,1.689498219
megvii,megvii,12,1000,0.012,,
crime,crime,12,1000,0.012,-0.256596032,-0.41030936
computer,comput,12,1000,0.012,-0.006438008,0.864436526
washington,washington,11,1000,0.011,2.167838867,-0.701901576
scrutiny,scrutini,11,1000,0.011,-0.934667956,-0.323959789
monitoring,monitor,11,1000,0.011,-0.635439874,0.543661051
launch,launch,11,1000,0.011,-0.30152548,0.21658087
install,instal,11,1000,0.011,-0.270931645,0.456229572
immigration,immigr,11,1000,0.011,-0.236498998,-0.459858878
fbi,fbi,11,1000,0.011,1.21467486,-0.127642817
driver's,driver,11,1000,0.011,-0.353797224,0.371118481
captured,captur,11,1000,0.011,-0.484130942,-0.075187594
advocates,advoc,11,1000,0.011,-0.672909488,-0.318598996
xinjiang,xinjiang,10,1000,0.01,,
